"176","3","4","Los Reartes",NULL,"10"
"177","3","4","Santa Mónica",NULL,"10"
"178","3","4","Villa Alpina",NULL,"10"
"179","3","4","Villa Berna",NULL,"10"
"180","3","4","Rumipal",NULL,"10"
"181","3","4","Yacanto",NULL,"10"
"182","3","4","Cruz del Eje",NULL,"10"
"183","3","4","San Marcos Sierras",NULL,"10"
"184","3","4","Villa de Soto",NULL,"10"
"185","3","4","Deán Funes",NULL,"10"
"186","3","4","Las Peñas",NULL,"10"
"187","3","4","Villa del Totoral",NULL,"10"
"188","3","4","Villa Tulumba",NULL,"10"
"189","3","4","La Paisanita",NULL,"10"
"190","3","4","La Serranita",NULL,"10"
"191","7","2","San Clemente",NULL,"10"
"192","3","4","Villa Ciudad de América",NULL,"10"
"193","3","4","Bialet Masse",NULL,"10"
"194","3","4","Cabalango",NULL,"10"
"195","3","4","Capilla del Monte",NULL,"10"
"196","3","4","Cruz Chica",NULL,"10"
"198","3","4","Huerta Grande",NULL,"10"
"199","3","4","Los Cocos",NULL,"10"
"200","3","4","Molinari",NULL,"10"
"201","3","4","San Antonio de Arredondo",NULL,"10"
"202","3","4","San Esteban",NULL,"10"
"203","3","4","Santa Maria",NULL,"10"
"204","3","4","Tala Huasi",NULL,"10"
"205","3","4","Tanti",NULL,"10"
"206","3","4","Valle Hermoso",NULL,"10"
"207","3","4","Villa Giardino",NULL,"10"
"208","3","4","Villa Icho Cruz",NULL,"10"
"209","3","4","Villa Parque Siquiman",NULL,"10"
"210","3","4","Agua de Oro",NULL,"10"
"211","3","4","Ascochinga",NULL,"10"
"212","3","4","La Calera",NULL,"10"
"213","3","4","La Granja",NULL,"10"
"214","3","4","Río Ceballos",NULL,"10"
"215","3","4","Salsipuedes",NULL,"10"
"216","3","4","Unquillo",NULL,"10"
"217","3","4","Villa Allende",NULL,"10"
"220","3","4","La Paz",NULL,"10"
"221","3","4","La Población",NULL,"10"
"222","3","4","Las Calles",NULL,"10"
"223","3","4","Las Rabonas",NULL,"10"
"224","3","4","Las Tapias",NULL,"10"
"225","3","4","Los Hornillos",NULL,"10"
"226","3","4","Nono",NULL,"10"
"227","3","4","Pampa de Achala",NULL,"10"
"228","3","4","San Javier",NULL,"10"
"229","3","4","Villa de las Rosas",NULL,"10"
"230","3","4","Villa Dolores",NULL,"10"
"231","3","4","Villa María",NULL,"10"
"232","6","8","Termas de Colón",NULL,"10"
"233","6","8","Concepción del Uruguay",NULL,"10"
"234","6","8","Concordia",NULL,"10"
"235","6","7","Corrientes",NULL,"10"
"236","6","10","Formosa",NULL,"10"
"237","6","8","Gualeguaychú",NULL,"10"
"238","6","6","Posadas",NULL,"10"
"240","6","9","Resistencia",NULL,"10"
"241","2","16","Ruta de los Dinosaurios",NULL,"10"
"242","2","24","Talampaya",NULL,"10"
"243","2","16","Ischigualasto",NULL,"10"
"244","2","16","Valle de la Luna",NULL,"10"
"245","5","5","Iruya",NULL,"10"
"246","4","18","Comodoro Rivadavia",NULL,"10"
"247","2","16","Ciudad de San Juan de Cuyo",NULL,"10"
"248","2","1","Rivadavia",NULL,"10"
"249","2","16","Calingasta",NULL,"10"
"250","2","16","Barreal",NULL,"10"
"251","2","16","Parajes Calingastinos",NULL,"10"
"252","2","16","Jáchal",NULL,"10"
"253","2","16","Pismanta",NULL,"10"
"254","2","16","Angualasto",NULL,"10"
"256","2","15","Las Chacras",NULL,"10"
"257","2","15","Juana Koslay",NULL,"10"
"258","2","15","Potrero de Los Funes",NULL,"10"
"259","2","15","El Volcán",NULL,"10"
"260","2","15","La Florida",NULL,"10"
"261","2","15","El Trapiche",NULL,"10"
"262","2","15","Pampa del Tamboreo",NULL,"10"
"263","2","15","Gruta Inti Huasi",NULL,"10"
"264","2","15","La Carolina",NULL,"10"
"265","2","15","Paso del Rey",NULL,"10"
"266","2","15","Termas en San Luis",NULL,"10"
"267","2","15","Villa de la Quebrada y Suyuque",NULL,"10"
"268","2","15","Nogolí",NULL,"10"
"269","2","15","San Francisco del Monte de Oro",NULL,"10"
"270","2","15","Luján",NULL,"10"
"271","2","15","Quines",NULL,"10"
"272","2","15","Carpintería",NULL,"10"
"273","2","15","Los Molles",NULL,"10"
"274","2","15","Cortaderas",NULL,"10"
"275","2","15","Camino de la Costa",NULL,"10"
"276","2","15","Valle del Conlara",NULL,"10"
"277","2","15","La Toma",NULL,"10"
"278","2","15","Saladillo",NULL,"10"
"279","2","15","Naschel",NULL,"10"
"280","2","15","Renca y Cristo de Renca",NULL,"10"
"281","2","15","Tilisarao",NULL,"10"
"282","2","15","Concarán",NULL,"10"
"283","2","15","Santa Rosa del Valle del Conlara",NULL,"10"
"284","2","15","San Martín",NULL,"10"
"324","4","17","Santa Rosa",NULL,"10"
"325","4","17","Reserva Parque Luro",NULL,"10"
"326","1","2","La Costa",NULL,"10"
"327","1","2","Ciudades de la Provincia de Buenos Aires",NULL,"10"
"330","7","2","Claromecó",NULL,"10"
"331","7","2","Las Gaviotas",NULL,"10"
"332","7","2","Mar Azul",NULL,"10"
"405","4","3","Cipolletti",NULL,"10"
"337","2","1","Este de Mendoza",NULL,"10"
"338","2","1","General Alvear",NULL,"10"
"336","4","21","Aluminé",NULL,"10"
"339","6","7","Goya",NULL,"10"
"403","1","2","San Nicolás",NULL,"10"
"346","1","2","Pilar",NULL,"10"
"406","4","3","San Carlos de Bariloche",NULL,"10"
"407","1","26"," Colonia del Sacramento",NULL,"10"
"408","0","0","Anaa","AAA","175"
"409","0","1","Arrabury","AAB","13"
"410","0","1","Annaba","AAE","62"
"411","0","1","Apalachicola","AAF","233"
"412","0","1","Arapoti","AAG","31"
"413","0","1","Aachen","AAH","57"
"414","0","1","Aranuka","AAK","118"
"415","0","1","Aalborg","AAL","59"
"416","0","1","Mala Mala","AAM","247"
"417","0","1","Al Ain","AAN","2"
"418","0","1","Anaco","AAO","238"
"419","0","1","Anapa","AAQ","191"
"420","0","1","Aarhus","AAR","59"
"421","0","1","Altay","AAT","48"
"422","0","1","Asau","AAU","244"
"423","0","1","Araxa","AAX","31"
"424","0","1","Al Ghaydah","AAY","245"
"425","0","1","Abakan","ABA","191"
"426","0","1","Albacete","ABC","68"
"427","0","1","Abadan","ABD","108"
"428","0","1","Allentown","ABE","233"
"429","0","1","Abaiang","ABF","118"
"430","0","1","Alpha","ABH","13"
"431","0","1","Abilene","ABI","233"
"432","0","1","Abidjan","ABJ","44"
"433","0","1","Kabri Dar","ABK","69"
"434","0","1","Ambler","ABL","233"
"435","0","1","Bamaga","ABM","13"
"436","0","1","Albuquerque","ABQ","233"
"437","0","1","Aberdeen","ABR","233"
"438","0","1","Abu Simbel","ABS","65"
"439","0","1","Al Baha","ABT","193"
"440","0","1","Atambua","ABU","101"
"441","0","1","Abuja","ABV","164"
"442","0","1","Albury","ABX","13"
"443","0","1","Albany","ABY","233"
"444","0","1","Aberdeen","ABZ","77"
"445","0","1","Acapulco","ACA","157"
"446","0","1","Accra","ACC","82"
"447","0","1","Acandi","ACD","49"
"448","0","1","Lanzarote","ACE","68"
"449","0","1","Altenrhein","ACH","43"
"450","0","1","Alderney","ACI","77"
"451","0","1","Nantucket","ACK","233"
"452","0","1","Ascona","ACO","43"
"453","0","1","Araracuara","ACR","49"
